Year,Rank,TEAM,GP,W,L,Win %,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,Champion,,,,,,,,
2013-14,14,Washington Wizards,82,44,38,0.536585366,4011,104.9,103.6,1.3,60.1,1.59,17.6,28.6,71.9,49.8,15.3,50.6,53.8,94.18,50.4,"7,872",0,,,,,,,,
2013-14,16,Charlotte Bobcats,82,43,39,0.524390244,3981,103,103.3,-0.4,59.7,1.76,16.9,26.9,73,50,13.1,48.1,52.2,92.93,50.8,"7,712",0,,,,,,,,
2013-14,17,Minnesota Timberwolves,82,40,42,0.487804878,3971,107.7,105.2,2.6,61.6,1.72,17.3,31.7,71.5,50.8,14,48.6,53.5,98.33,51.9,"8,139",0,,,,,,,,
2013-14,18,Atlanta Hawks,82,38,44,0.463414634,3966,104.9,105.7,-0.7,66.7,1.63,18.8,25.6,71.1,48.5,15.9,51.5,55.4,95.41,50.2,"7,892",0,,,,,,,,
2013-14,19,New York Knicks,82,37,45,0.451219512,3971,107,108.1,-1.1,54.2,1.54,16,29.1,70.5,49.2,14.1,50.5,54.1,91.24,49,"7,556",0,,,,,,,,
2013-14,20,Denver Nuggets,82,36,46,0.43902439,3951,105.1,107.3,-2.2,58.4,1.41,16.4,31,70.3,50.5,16,49.7,53.6,98.95,48.1,"8,146",0,,,,,,,,
2013-14,21,New Orleans Pelicans,82,34,48,0.414634146,3971,106.2,109.1,-3,56.3,1.55,16.5,30.5,69.4,49.7,14.7,49.5,53.7,93.07,48.3,"7,703",0,,,,,,,,
2013-14,22,Cleveland Cavaliers,82,33,49,0.402439024,3986,103.5,107,-3.6,57.2,1.49,16.2,31.4,71.1,50.8,14.9,47.9,51.8,93.69,46.9,"7,784",0,,,,,,,,
2013-14,23,Detroit Pistons,82,29,53,0.353658537,3956,105.2,109,-3.7,53.9,1.44,15.6,34.7,69.3,51.1,15.2,48.2,51.4,95.57,46.4,"7,874",0,,,,,,,,
2013-14,24,Sacramento Kings,82,28,54,0.341463415,3966,105.1,107.8,-2.7,51.1,1.24,14.6,31.6,72.5,51.8,15.9,48.4,53.2,95.04,47.3,"7,840",0,,,,,,,,
2013-14,25,Los Angeles Lakers,82,27,55,0.329268293,3941,103.2,109.3,-6,63.9,1.62,18.1,23.5,67.6,45.9,15.2,50.5,54.2,99.72,46,"8,177",0,,,,,,,,
2013-14,26,Boston Celtics,82,25,57,0.304878049,3946,101.9,106.5,-4.6,57.6,1.37,16.2,31.4,70.8,50.5,16.3,47.7,51.7,94.28,46.1,"7,745",0,,,,,,,,
2013-14,26,Utah Jazz,82,25,57,0.304878049,3956,102.4,110.1,-7.6,56.4,1.39,16.1,29.7,70.8,49.7,15.8,48.4,52.3,92.32,45.1,"7,605",0,,,,,,,,
2013-14,28,Orlando Magic,82,23,59,0.280487805,3991,101,106.6,-5.7,57.1,1.41,16.4,26.7,71.4,49,15.6,48.7,52.5,94.27,46.6,"7,837",0,,,,,,,,
2013-14,29,Philadelphia 76ers,82,19,63,0.231707317,3971,99,109,-10,57.6,1.29,16,29,68.4,47.9,16.8,47.5,51,99.74,42.6,"8,236",0,,,,,,,,
2013-14,30,Milwaukee Bucks,82,15,67,0.182926829,3976,101.9,110.2,-8.3,59.6,1.42,16.5,31,67.8,49,16.1,47.9,51.9,92.96,44.9,"7,685",0,,,,,,,,
2012-13,1,Miami Heat,82,66,16,0.804878049,3976,111.4,103.2,8.2,60,1.65,18.4,26.4,67.8,48.5,15.1,55.2,58.8,91.26,56.4,"7,572",1,,,,,,,,
2012-13,2,Oklahoma City Thunder,82,60,22,0.731707317,3966,111,101.2,9.9,56.1,1.4,16.6,29.1,70.2,51.3,16,52.7,58,94.58,57,"7,808",0,,,,,,,,
2012-13,3,San Antonio Spurs,82,58,24,0.707317073,3976,107,100.3,6.7,64.1,1.71,19.1,24.3,71.5,49.3,15.3,53.1,56.8,95.31,55.1,"7,892",0,,,,,,,,
2012-13,4,Denver Nuggets,82,57,25,0.695121951,3981,109.3,104.2,5.1,60,1.6,17.8,34.5,67.5,51.3,15.7,51.5,54.9,95.92,53.8,"7,960",0,,,,,,,,
2012-13,5,Los Angeles Clippers,82,56,26,0.682926829,3946,109.8,102.8,6.9,62,1.64,18.4,32.3,69.7,51.2,15.9,52.6,55.7,91.83,54.8,"7,552",0,,,,,,,,
2012-13,5,Memphis Grizzlies,82,56,26,0.682926829,3961,103.6,99.1,4.5,57.9,1.5,16.5,34.4,70.2,52,15.5,47.2,51.4,89.56,53.1,"7,394",0,,,,,,,,
2012-13,7,New York Knicks,82,54,28,0.658536585,3946,109.8,105.4,4.5,52.7,1.6,15.6,29.1,70.8,49.4,13.2,51.5,55,90.68,51.2,"7,462",0,,,,,,,,
2012-13,8,Brooklyn Nets,82,49,33,0.597560976,3971,106.9,104.8,2,56.7,1.38,16.1,34.3,70.1,52,16.2,49.8,53.6,89.88,50.9,"7,433",0,,,,,,,,
2012-13,8,Indiana Pacers,81,49,32,0.604938272,3918,103.4,99,4.4,57.8,1.34,16,33.6,70.1,52.2,16.5,47.9,52.1,90.9,53.7,"7,420",0,,,,,,,,
2012-13,10,Golden State Warriors,82,47,35,0.573170732,3961,105.1,104.2,0.9,58.9,1.49,17.1,28.5,71.2,50.6,15.7,50.6,54.5,95.64,50.2,"7,893",0,,,,,,,,
2012-13,11,Chicago Bulls,82,45,37,0.548780488,3966,102.4,101.9,0.5,64.5,1.61,17.8,33.2,69.9,51.4,15.7,47,51.2,90.35,51.4,"7,460",0,,,,,,,,
2012-13,11,Houston Rockets,82,45,37,0.548780488,3956,108.8,105.3,3.5,60.9,1.41,17.3,30.5,71,50.9,16.9,52.5,56.4,96.89,51,"7,988",0,,,,,,,,
2012-13,11,Los Angeles Lakers,82,45,37,0.548780488,3951,107,105.9,1.1,59.8,1.48,16.8,30.9,70.2,51,15.7,51.2,54.8,95.08,51.3,"7,830",0,,,,,,,,
2012-13,14,Atlanta Hawks,82,44,38,0.536585366,3971,103.7,103.4,0.3,65.1,1.65,18.8,25.4,70.1,48.2,15.7,51.7,54.6,93.56,50.9,"7,744",0,,,,,,,,
2012-13,15,Utah Jazz,82,43,39,0.524390244,3976,105.4,105.6,-0.2,61,1.54,17.4,32.9,69.7,51,15.9,49.2,53.3,92.05,50.4,"7,629",0,,,,,,,,
2012-13,16,Boston Celtics,81,41,40,0.50617284,3968,102.2,102.6,-0.5,61.4,1.56,17.9,24.6,69,47.7,15.4,50.3,54.2,92.46,50.7,"7,652",0,,,,,,,,
2012-13,16,Dallas Mavericks,82,41,41,0.5,3996,104.7,105.4,-0.6,59.9,1.67,17.7,25.9,69.8,48.4,14.4,50.6,54.4,95.09,50.2,"7,917",0,,,,,,,,
2012-13,18,Milwaukee Bucks,82,38,44,0.463414634,3966,102.5,104.2,-1.7,60,1.62,17,31.5,67.8,49.1,14.6,47.6,51,95.65,48.8,"7,909",0,,,,,,,,
2012-13,19,Philadelphia 76ers,82,34,48,0.414634146,3951,101,104.7,-3.7,61,1.74,17.7,29.1,69.5,48.9,14.1,48.1,50.9,91.88,47.4,"7,566",0,,,,,,,,
2012-13,19,Toronto Raptors,82,34,48,0.414634146,3996,105,106.4,-1.4,59.2,1.57,16.9,29.6,68.8,49,14.8,48.8,53.2,91.26,48.4,"7,591",0,,,,,,,,
2012-13,21,Portland Trail Blazers,82,33,49,0.402439024,3971,104.5,107.9,-3.4,59.3,1.48,17,29.4,70.2,49.5,15.7,49.8,53.6,92.46,46.8,"7,649",0,,,,,,,,
2012-13,22,Minnesota Timberwolves,82,31,51,0.37804878,3946,101.8,104,-2.2,62.4,1.51,17.1,31.2,70.2,50,15.7,47.3,51.6,93.94,49.4,"7,712",0,,,,,,,,
2012-13,23,Detroit Pistons,82,29,53,0.353658537,3961,102.7,107.2,-4.5,58.5,1.4,16.6,32.4,69.5,50.6,16.4,48.7,52.1,91.68,46.7,"7,571",0,,,,,,,,
2012-13,23,Washington Wizards,82,29,53,0.353658537,3971,99.3,101.6,-2.3,61,1.43,16.9,27.9,70.6,49.1,16.1,47.5,51.2,93.23,48.1,"7,699",0,,,,,,,,
2012-13,25,Sacramento Kings,82,28,54,0.341463415,3966,105.3,110,-4.7,55.3,1.42,16,30.6,67.3,48.5,15.4,49.1,53.2,94.65,45.4,"7,804",0,,,,,,,,
2012-13,26,New Orleans Hornets,82,27,55,0.329268293,3956,104.5,108.9,-4.4,58.2,1.44,16.7,33.2,70.5,51.4,16.2,48.9,52.8,89.5,46.4,"7,379",0,,,,,,,,
2012-13,27,Phoenix Suns,82,25,57,0.304878049,3961,100.2,106.9,-6.7,60.6,1.45,17.1,30.8,68.7,49.1,16.4,47.7,51.2,94.48,45.8,"7,793",0,,,,,,,,
2012-13,28,Cleveland Cavaliers,82,24,58,0.292682927,3946,103.2,108.2,-5,56.6,1.47,15.9,32.6,69.5,50,15,47.3,51.4,93.25,45,"7,666",0,,,,,,,,
2012-13,29,Charlotte Bobcats,82,21,61,0.256097561,3961,100.4,110.3,-9.9,56.2,1.38,15.3,30.5,67.9,48.6,15.1,46,50.7,92.49,43.8,"7,632",0,,,,,,,,
2012-13,30,Orlando Magic,82,20,62,0.243902439,3956,100.9,108.4,-7.4,60.5,1.57,17.6,29.3,70.7,49.8,15.6,48.5,51.4,92.81,45.9,"7,646",0,,,,,,,,
2011-12,1,Chicago Bulls,66,50,16,0.757575758,3188,106.3,97.5,8.8,61.9,1.65,17.7,36.1,70.3,53.6,15.4,49,52.3,89.98,56.1,"5,982",0,,,,,,,,
2011-12,1,San Antonio Spurs,66,50,16,0.757575758,3188,110,102.3,7.7,58.5,1.71,17.8,28.2,72,50.7,14.4,52.8,56.2,93.67,54.6,"6,220",0,,,,,,,,
2011-12,3,Oklahoma City Thunder,66,47,19,0.712121212,3198,108.4,102.1,6.3,49.7,1.13,14.6,30.4,68.7,50.9,17.2,51.6,56.7,94.11,54.2,"6,273",0,,,,,,,,
2011-12,4,Miami Heat,66,46,20,0.696969697,3208,105.6,99.2,6.4,53.8,1.31,15.9,29.9,69.3,50.4,16.3,50.5,54.9,92.07,55.3,"6,154",1,,,,,,,,
2011-12,5,Indiana Pacers,66,42,24,0.636363636,3198,105.5,102.1,3.3,52.2,1.33,14.7,33.3,68.9,51.1,15.1,47.4,52.6,91.68,52.1,"6,115",0,,,,,,,,
2011-12,6,Los Angeles Lakers,66,41,25,0.621212121,3213,104.5,103.2,1.3,61.1,1.49,17.3,32.7,71.9,53.2,16.2,49.1,53.4,91.72,52.4,"6,145",0,,,,,,,,
2011-12,6,Memphis Grizzlies,66,41,25,0.621212121,3188,102.8,100.6,2.2,53.2,1.35,15.4,33.5,68.8,50.8,15.7,47.3,51.5,91.82,51.4,"6,099",0,,,,,,,,
2011-12,8,Atlanta Hawks,66,40,26,0.606060606,3233,104.2,100.4,3.8,61,1.61,17.6,27.9,70.3,49.3,15.1,50,53.5,90.88,52.6,"6,117",0,,,,,,,,
2011-12,8,Los Angeles Clippers,66,40,26,0.606060606,3193,107.5,104.8,2.7,56.8,1.58,16.6,33.1,69.2,50.7,14.7,50.2,53.3,89.98,51.7,"5,989",0,,,,,,,,
2011-12,10,Boston Celtics,66,39,27,0.590909091,3188,100.1,97.5,2.6,66.5,1.59,18.8,24.5,68.6,47.8,16.2,49.6,53.5,91.11,53.5,"6,055",0,,,,,,,,
2011-12,11,Denver Nuggets,66,38,28,0.575757576,3208,108.3,105.1,3.2,61.5,1.56,17.9,31.6,70.5,51.5,16,51.6,55.6,95.03,52.7,"6,346",0,,,,,,,,
2011-12,12,Orlando Magic,66,37,29,0.560606061,3193,104,103.4,0.6,58.1,1.34,16.1,30.6,72,51,16.5,50.6,53.3,89.75,49.3,"5,978",0,,,,,,,,
2011-12,13,Dallas Mavericks,66,36,30,0.545454545,3213,102.1,100.9,1.1,57.5,1.49,16.5,26.8,71.4,49.3,14.9,48.9,52.7,92.61,51,"6,195",0,,,,,,,,
2011-12,13,New York Knicks,66,36,30,0.545454545,3188,103.5,100.2,3.2,56.2,1.26,15.6,30.9,70.2,50.3,16.9,49.2,53.3,93.91,52,"6,242",0,,,,,,,,
2011-12,13,Utah Jazz,66,36,30,0.545454545,3233,105.5,104.9,0.5,57,1.54,16.6,34,70.3,51.9,15,48.1,52.5,92.53,50.9,"6,236",0,,,,,,,,
2011-12,16,Philadelphia 76ers,66,35,31,0.53030303,3183,102.7,98.2,4.6,58.8,1.97,17.5,27.7,71.2,49.5,12.3,48,51.1,90.68,53.2,"6,016",0,,,,,,,,
2011-12,17,Houston Rockets,66,34,32,0.515151515,3213,104.2,104,0.2,56.4,1.47,16.4,30.9,69.2,49.9,15.4,49.2,52.9,92.82,49.7,"6,215",0,,,,,,,,
2011-12,18,Phoenix Suns,66,33,33,0.5,3168,105.2,105.2,-0.1,59.6,1.6,17.4,29.4,68.7,49.3,15,49.9,53.6,93.61,50.2,"6,173",0,,,,,,,,
2011-12,19,Milwaukee Bucks,66,31,35,0.46969697,3173,104.5,104.1,0.4,62,1.67,17.6,31.4,67.5,49,14.8,48.1,52.1,94.68,50.3,"6,256",0,,,,,,,,
2011-12,20,Portland Trail Blazers,66,28,38,0.424242424,3193,104.4,105.3,-0.9,56.2,1.44,16.1,30.3,69.1,49.3,15.2,48.8,53.1,92.24,49.4,"6,143",0,,,,,,,,
2011-12,21,Minnesota Timberwolves,66,26,40,0.393939394,3188,103.1,105.3,-2.2,54.8,1.29,15.1,31.1,69.3,50.2,16,47.7,52.4,94.44,48.3,"6,268",0,,,,,,,,
2011-12,22,Detroit Pistons,66,25,41,0.378787879,3193,100,105,-5,53.8,1.19,15.1,32.2,68.9,50,17.2,46.8,51,90.31,44.8,"6,000",0,,,,,,,,
2011-12,23,Golden State Warriors,66,23,43,0.348484848,3183,103.9,107.3,-3.4,59.1,1.61,17.4,25.6,65.8,46,14.7,50.5,53.9,93.78,47.2,"6,212",0,,,,,,,,
2011-12,23,Toronto Raptors,66,23,43,0.348484848,3193,99.6,103.6,-3.9,60.9,1.38,16.8,29.4,70.8,50.3,16.7,47.5,51.8,90.19,47.8,"6,008",0,,,,,,,,
2011-12,25,New Jersey Nets,66,22,44,0.333333333,3178,101.8,108.1,-6.3,58,1.32,15.8,31.4,67.7,48.9,16.5,47.3,51.6,91.26,44.8,"6,036",0,,,,,,,,
2011-12,25,Sacramento Kings,66,22,44,0.333333333,3183,102.9,108.7,-5.8,51,1.34,14.7,32.1,67,48.7,15,47.2,51,95.56,45.1,"6,333",0,,,,,,,,
2011-12,27,Cleveland Cavaliers,66,21,45,0.318181818,3193,100,107.6,-7.6,57.9,1.29,15.4,32.3,68.3,49.6,16.6,46.3,50.5,92.34,43.9,"6,140",0,,,,,,,,
2011-12,27,New Orleans Hornets,66,21,45,0.318181818,3188,99.9,103.9,-4,59.5,1.34,16.8,31,69.6,50.6,17.3,47.6,51.7,89.27,48.2,"5,924",0,,,,,,,,
2011-12,29,Washington Wizards,66,20,46,0.303030303,3173,100,104.9,-5,52.3,1.25,15.1,30.8,67.8,48.9,16.3,47.2,50.8,93.59,46,"6,182",0,,,,,,,,
2011-12,30,Charlotte Bobcats,66,7,59,0.106060606,3178,94.4,109.4,-15,60.5,1.39,16,28.5,67.8,47.4,15.7,43.9,48.3,91.86,41.1,"6,080",0,,,,,,,,
2010-11,1,Chicago Bulls,82,62,20,0.756097561,3966,107.2,99.5,7.8,60.1,1.57,17.3,33.2,71.7,52.8,15.4,50.1,54.1,91.2,55.5,"7,542",0,,,,,,,,
2010-11,2,San Antonio Spurs,82,61,21,0.743902439,3956,110.5,104.4,6.1,58.3,1.67,17.5,27.6,71.1,50,14.3,52.7,56.7,93.34,53.8,"7,691",0,,,,,,,,
2010-11,3,Miami Heat,82,58,24,0.707317073,3956,110.6,102.9,7.8,54.1,1.44,16.1,28.7,71.5,51.4,15.1,52.4,57.3,91.63,55.6,"7,564",0,,,,,,,,
2010-11,4,Dallas Mavericks,82,57,25,0.695121951,3941,108.4,104.1,4.4,63.7,1.71,18.7,27.8,71.3,50.4,15.1,52.5,56.5,92.24,53.8,"7,581",1,,,,,,,,
2010-11,4,Los Angeles Lakers,82,57,25,0.695121951,3966,109.6,103.3,6.3,57.6,1.68,17,32.5,69.2,51.3,14.1,50.2,54.5,91.78,54.1,"7,594",0,,,,,,,,
2010-11,6,Boston Celtics,82,56,26,0.682926829,3956,105.5,99.8,5.7,63.5,1.61,18.8,25.7,70.9,49.7,15.9,51.9,56.1,90.92,55.8,"7,500",0,,,,,,,,
2010-11,7,Oklahoma City Thunder,82,55,27,0.670731707,4001,109.9,105.9,3.9,54.5,1.45,15.8,30.6,69.7,50.7,14.8,50.1,56.1,93.84,52.9,"7,824",0,,,,,,,,
2010-11,8,Orlando Magic,82,52,30,0.634146341,3966,107.4,101.8,5.6,55.3,1.34,15.9,30.4,72.3,51.8,16.2,52.1,55.4,91.55,53.4,"7,575",0,,,,,,,,
2010-11,9,Denver Nuggets,82,50,32,0.609756098,3941,111.7,106.8,4.9,57.6,1.57,17,28.3,71.6,50.6,14.7,52.6,57.4,96.06,52.4,"7,888",0,,,,,,,,
2010-11,10,Portland Trail Blazers,82,48,34,0.585365854,3961,107.3,105.7,1.6,58.8,1.62,16.9,33.1,68.2,49.9,14.5,48.6,53.3,89.13,51.6,"7,359",0,,,,,,,,
2010-11,11,Memphis Grizzlies,82,46,36,0.56097561,3976,107,104.5,2.5,52.8,1.48,16,33.3,68.2,50.5,15,49.3,53.4,92.42,51.8,"7,656",0,,,,,,,,
2010-11,11,New Orleans Hornets,82,46,36,0.56097561,3966,105.4,104.4,1,57.4,1.58,16.8,28.9,72.1,50.3,14.5,49.3,53.7,89.4,50.7,"7,387",0,,,,,,,,
2010-11,13,Atlanta Hawks,82,44,38,0.536585366,3946,105.1,105.8,-0.7,60.7,1.61,17.7,27.4,71,49.4,15.1,50.1,54.2,90.22,49.3,"7,410",0,,,,,,,,
2010-11,14,Houston Rockets,82,43,39,0.524390244,3976,110.2,107.9,2.3,61.7,1.76,17.8,31.5,69,50.1,14.1,50.3,55,95.14,51.5,"7,880",0,,,,,,,,
2010-11,15,New York Knicks,82,42,40,0.512195122,3956,109.9,109,1,56,1.56,16.4,27.3,67.6,47.3,14.1,51.3,56.1,96.47,50.4,"7,945",0,,,,,,,,
2010-11,16,Philadelphia 76ers,82,41,41,0.5,3986,105.3,103.8,1.5,59.6,1.75,17.6,27.8,71.4,49.7,13.8,49.4,53.5,92.78,51,"7,709",0,,,,,,,,
2010-11,17,Phoenix Suns,82,40,42,0.487804878,4001,108.6,109.4,-0.8,60.4,1.66,17.9,27.5,68.1,48,14.7,52.2,55.9,95.18,49.4,"7,930",0,,,,,,,,
2010-11,18,Utah Jazz,82,39,43,0.475609756,3976,107,108.8,-1.8,62.7,1.63,18,31.4,67.9,49.6,15.4,49.8,54.4,92.03,50,"7,619",0,,,,,,,,
2010-11,19,Indiana Pacers,82,37,45,0.451219512,3956,104.1,105,-0.9,53.6,1.28,15.2,29.7,70.3,50.1,16,48.6,53.3,95.5,49.2,"7,864",0,,,,,,,,
2010-11,20,Golden State Warriors,82,36,46,0.43902439,3966,107.1,109.4,-2.3,56.8,1.54,17,30,65.9,47.6,15.1,51,54.4,95.85,47.2,"7,916",0,,,,,,,,
2010-11,21,Milwaukee Bucks,82,35,47,0.426829268,3966,100.8,101.5,-0.8,54.9,1.4,15.3,28.7,71,49.2,14.8,46.7,51.1,90.57,48.8,"7,477",0,,,,,,,,
2010-11,22,Charlotte Bobcats,82,34,48,0.414634146,3961,102.8,107,-4.2,60.1,1.45,16.9,29.8,70.5,50.2,16,48.2,52.8,90.3,48,"7,444",0,,,,,,,,
2010-11,23,Los Angeles Clippers,82,32,50,0.390243902,3971,104.8,108,-3.2,60.1,1.35,16.9,33,69.2,51.1,17.4,49.6,53.5,93.35,48.3,"7,718",0,,,,,,,,
2010-11,24,Detroit Pistons,82,30,52,0.365853659,3976,107,110.7,-3.7,56.6,1.62,16.8,31.7,68.1,49.1,14.4,49.5,53.3,89.79,46.4,"7,428",0,,,,,,,,
2010-11,25,New Jersey Nets,82,24,58,0.292682927,4001,102.1,108.9,-6.8,59,1.5,16.6,30.4,70,49.7,15.2,47.4,51.7,90.7,45.2,"7,563",0,,,,,,,,
2010-11,25,Sacramento Kings,82,24,58,0.292682927,3971,102.9,108.4,-5.5,53.4,1.27,15.4,33.4,70.2,51.2,16.7,48,51.9,95.76,46.2,"7,923",0,,,,,,,,
2010-11,27,Washington Wizards,82,23,59,0.280487805,3986,101.3,109.1,-7.8,52.2,1.27,14.9,31.7,67.1,48.8,16,47.1,51.3,94.76,44.5,"7,871",0,,,,,,,,
2010-11,28,Toronto Raptors,82,22,60,0.268292683,3956,105.2,111.7,-6.5,57.1,1.49,16.8,31.4,68.5,49.5,15.6,49.1,53.3,93.78,45.9,"7,723",0,,,,,,,,
2010-11,29,Cleveland Cavaliers,82,19,63,0.231707317,3951,101.5,110.9,-9.5,59.6,1.48,16.4,28.3,69.9,48.5,15.1,47.2,51.8,93.76,44.1,"7,715",0,,,,,,,,
2010-11,30,Minnesota Timberwolves,82,17,65,0.207317073,3956,103.2,109.9,-6.7,53.4,1.18,15,33.6,69.8,51.2,17.4,48.3,52.6,97.49,44.3,"8,034",0,,,,,,,,